id,category,year_level,question,question_image,choice_a,choice_a_image,choice_b,choice_b_image,choice_c,choice_c_image,choice_d,choice_d_image,correct_answer,is_active,difficulty_level,has_images
18.0,Math,Senior (Grade 11-12),,images/quizzes/GMathQSH002_08.png,"1) D, 2) A, 3) E, 4) C, 5) B",,"1) B, 2) A, 3) D, 4) C, 5) E",,"1) D, 2) E, 3) C, 4) A, 5) B",,,,"1) D, 2) A, 3) E, 4) C, 5) B",0,Difficult,1
19.0,Math,Senior (Grade 11-12),,images/quizzes/GMathQSH002_09.png,,images/quizzes/GMathQSH002_09_opD.PNG,,images/quizzes/GMathQSH002_09_opB.PNG,,images/quizzes/GMathQSH002_09_opA.PNG,,images/quizzes/GMathQSH002_09_opC.PNG,images/quizzes/GMathQSH002_09_opA.PNG,0,Average,1
20.0,Math,Senior (Grade 11-12),"In evaluating functions, the input is the value of the dependent variable while output is/are the value/s of the independent variable.",,MAYBE,,FALSE,,Cannot be determined,,TRUE,,FALSE,0,Average,0
32.0,Math,Senior (Grade 11-12),"The evacuation authorities figured out that the cost in PHP per day per evacuee is a function, C(n) = 0.02n^2 - 4n + 500, where n is the number of evacuees. What is the minimum cost per day per evacuee?",,PHP 300,,PHP 200,,PHP 500,,PHP 100,,PHP 300,1,Easy,0
33.0,Math,Senior (Grade 11-12),"A tailor can make pants at a cost of 400 pesos each. If the tailor sells the pants for x pesos each, it is estimated that 1000 - 10x pants will be sold per week. Calculate the maximum weekly profit of the tailor.",,"PHP 18,000",,"PHP 16,000",,"PHP 14,000",,"PHP 12,000",,"PHP 18,000",1,Easy,0
42.0,Math,Senior (Grade 11-12),The number of radios produced by a factory in t hours is given by the polynomial function n(t) = t^2 + 3t for t ? 1. The cost in PHP of manufacturing the radio in t hours is given by the function c(t) = 24t + 400. What is the average cost of each radio?,,A(x) = (24t + 400)/t,,A(x) = (t^2 + 3t)/(24t + 400),,A(x) = (24t + 400)/(t^2+3t),,A(x) = (t^2 + 3t)/t,,A(x) = (24t + 400)/(t^2+3t),1,Easy,0
43.0,Math,Senior (Grade 11-12),"The rate of a worker can be express as a function of time. It is the amount of work done divided by the time spent to do the work. If a lumberjack needs to cut down 20 trees, express his rate as a function of time, t.",,R(t) = t/20,,R(t) = t + 20,,R(t) = 20/t,,R(t) = 20t,,R(t) = 20/t,1,Easy,0
44.0,Math,Senior (Grade 11-12),"Relative aperture or f-number is an important concept in photography. It is the ratio of the len's diameter. Given that the focal length is 50 mm, express the relative aperture, f, as a function of len's diameter, d.",,f = 50 + d,,f = 50d,,f = 50/d,,f = d/50,,f = 50/d,1,Easy,0
26.0,Math,Senior (Grade 11-12),,images/quizzes/GMathQSH003_06.png,"1) E, 2) D, 3) A, 4) B, 5) C",,"1) A, 2) B, 3) E, 4) D, 5) C",,"1) B, 2) D, 3) E, 4) A, 5) C",,"1) A, 2) D, 3) E, 4) B, 5) C",,"1) A, 2) D, 3) E, 4) B, 5) C",0,Difficult,1
27.0,Math,Senior (Grade 11-12),,images/quizzes/GMathQSH003_07.png,"1) B, 2) D, 3) E, 4) C, 5) A",,"1) B, 2) C, 3) E, 4) D, 5) A",,"1) D, 2) B, 3) E, 4) C, 5) A",,"1) A, 2) D, 3) E, 4) B, 5) C",,"1) B, 2) D, 3) E, 4) C, 5) A",0,Difficult,1
28.0,Math,Senior (Grade 11-12),The functions f and g are defined as f(x) = x + 1 and g(x) = (x - 1)/2. Match the first column with the result of performing operation of functions.,,"1) B, 2) C, 3) E, 4) D, 5) A",,"1) B, 2) A, 3) D, 4) C, 5) E",,"1) D, 2) A, 3) E, 4) C, 5) B",,"1) D, 2) E, 3) C, 4) A, 5) B",,"1) D, 2) A, 3) E, 4) C, 5) B",0,Difficult,0
45.0,Math,Senior (Grade 11-12),"Express the average speed of the truck if it will travel 1,780 kilometers as a function of time, t, in hours.",,"S(t) = 1,780 + t",,"S(t) = t/1,780",,"S(t) = 1,780t",,"S(t) = 1,780/t",,"S(t) = 1,780/t",1,Easy,0
49.0,Math,Senior (Grade 11-12),"The power consumed by an electric appliance is computed as the square of the voltage across the appliance divided by the resistance of the appliance. What is the function of the power, P, consumed by an appliance with a resistance R, connected to a 220 volt supply?",,P = 220/R2,,"P = 48,400/R",,P = 220/R,,"P = R/48,400",,"P = 48,400/R",1,Easy,0
50.0,Math,Senior (Grade 11-12),"The number of garments produced in a garment factory is a function of time, t, in hours, and is modelled to be 4t^2 + 5t. At the same time, the number of defective garments is 2t + 1. What is the percentage of defective garments at any time t?",,R(t) = 1/(4t^2 + 5t),,R(t) = (2t + 1)/(4t^2 + 5t),,R(t) = t/(2t + 1),,R(t) = (4t^2 +  5t)/(2t + 1),,R(t) = (2t + 1)/(4t^2 + 5t),1,Easy,0
51.0,Math,Senior (Grade 11-12),Which of the following is a rational equation?,,R > P/Q,,R = P/Q,,R(x) = P(x)/Q(x),,P/Q,,R = P/Q,1,Easy,0
52.0,Math,Senior (Grade 11-12),Which of the following is a rational inequality?,,P/Q,,R = P/Q,,R > P/Q,,R(x) = P(x)/Q(x),,R > P/Q,1,Easy,0
53.0,Math,Senior (Grade 11-12),Which of the following is a rational function?,,R(x) = P(x)/Q(x),,R = P/Q,,P/Q,,R > P/Q,,R(x) = P(x)/Q(x),1,Easy,0
54.0,Math,Senior (Grade 11-12),Which of the following is a rational function?,,500x = 125x^2 - 250,,R(x) = (125x^2 - 250)/500x,,(4?/?+7) ? 8,,2/3x,,R(x) = (125x^2 - 250)/500x,1,Easy,0
55.0,Math,Senior (Grade 11-12),Which of the following is a rational equation?,,2/x - 3/2x > 1/(3x+1),,(25x-5x^2)/(500x-15) = 156,,2/x - 3/2x + 1/3x,,h(x) = (x3-x2+x+1)/(x-1)^3,,(25x-5x^2)/(500x-15) = 156,1,Easy,0
56.0,Math,Senior (Grade 11-12),Which of the following is rational inequality?,,t/(t-1) - t^2/(t-2) + t^3/t-3,,2/t - t/(t^2+5) > 1/t/(1-t),,t = 13t^2/(56t - t4),,Q(t) = t/(t^2-3),,2/t - t/(t^2+5) > 1/t/(1-t),1,Easy,0
87.0,Math,Senior (Grade 11-12),Which of the following is the equation of f(x) = (x^3 - 9)/(x + 4)?,,y = (x3 - 9)/(x + 4),,y = (x^3 + 9)/(x + 4),,y = (x + 4)/(x^3 - 9),,y = (x^3 + 9)/(x - 4),,y = (x^3 - 9)/(x + 4),1,Easy,0
88.0,Math,Senior (Grade 11-12),Which of the following is the equation of f(x) = (x^2 - 5x + 6)/(x^2 + 7x + 12)?,,y = (x2 - 5x + 6)/(x^2 - 7x + 12),,y = (x^2 - 5x + 6)/(x^2 + 7x + 12),,y = (x^2 + 5x - 6)/(x^2 + 7x + 12),,y = (x^2 - 5x + 6)/(x^2 + 7x - 12),,y = (x^2 - 5x + 6)/(x^2 + 7x + 12),1,Easy,0
89.0,Math,Senior (Grade 11-12),Which of the following is the equation of f(x) = (5x - 6)/(4x^2 + 3x - 2)?,,y = (-5x + 6)/(4x^2 + 3x - 2),,y = (5x - 6)/(4x^2 - 3x + 2),,y = (5x - 6)/(4x^2 + 3x - 2),,y = (5x + 6)/(4x^2 + 3x - 2),,y = (5x - 6)/(4x^2 + 3x - 2),1,Easy,0
91.0,Math,Senior (Grade 11-12),Find the domain and range of the function f(x) = 5x/(x - 5),,"D: (-?, 5) U (5, ?); R: (-?, 5) U (5, ?)",,"D: (-?, -5) U (-5, ?); R: (-?, 5) U (5, ?)",,"D: (-?, 5) U (5, ?); R: (-?, 10) U (10, ?)",,"D: (-?, 5) U (5, ?); R: (-?, 1/5) U (1/5, ?)",,"D: (-?, 5) U (5, ?); R: (-?, 5) U (5, ?)",1,Easy,0
92.0,Math,Senior (Grade 11-12),Which of the following is the domain of f(x) = 5x/(2x - 8)?,,D: {x ? R|x ? -8},,D: {x ? R|x ? -4},,D: {x ? R|x ? 4},,D: {x ? R|x ? 8},,D: {x ? R|x ? 4},1,Easy,0
93.0,Math,Senior (Grade 11-12),Which of the following is the range of f(x) = 6x/(5 - 2x)?,,{y ? R|y ? -3},,{y ? R|y ? -6},,{y ? R|y ? 3},,{y ? R|y ? 6},,{y ? R|y ? -3},1,Easy,0
94.0,Math,Senior (Grade 11-12),Find the range of the function f(x) = 8/(x^2 - 4),,"R: (-?, -2) U (-2, ?)",,"R: (-?, 0) U (0, ?)",,"R: (-?, 2) U (0, ?)",,"R: (-?, 2) U (2, ?)",,"R: (-?, 2) U (0, ?)",1,Easy,0
95.0,Math,Senior (Grade 11-12),Find the range of the function f(x) = (x^2 + x - 6)/(x + 3),,All real numbers except 2,,All real numbers except -5,,All real numbers except -3,,All real numbers,,All real numbers except -5,1,Easy,0
96.0,Math,Senior (Grade 11-12),Find the range of the function f(x) = (x^2 + 5x + 4)/(x + 5),,"y =  (-?, 1] U [9, ?)",,"y =  (-?, -9] U [-1, ?)",,"y =  (-?, -1] U [9, ?)",,"y =  (-?, -9] U [1, ?)",,"y =  (-?, -9] U [-1, ?)",1,Easy,0
97.0,Math,Senior (Grade 11-12),Find the domain of the function f(x) = (x^2 + 25x + 74)/(x^2 + 23x -20),,"x ? R|x ? {-5/7, 4}",,"x ? R|x ? {-4, 5/7}",,"x ? R|x ? {-7/5, 4}",,"x ? R|x ? {-4, 7/5}",,"x ? R|x ? {-4, 5/7}",1,Easy,0
98.0,Math,Senior (Grade 11-12),Find the domain of the function f(x) = (x - 4)/(x -11),,x ? R|x ? {11},,x ? R|x ? {4},,x ? R|x ? {-4},,x ? R|x ? {-11},,x ? R|x ? {11},1,Easy,0
99.0,Math,Senior (Grade 11-12),Find the domain of the function f(x) = (x^2 - 1)/(x + 1),,All real numbers,,x ? R|x ? {-1},,x ? R|x ? {0},,x ? R|x ? {1},,x ? R|x ? {-1},1,Easy,0
100.0,Math,Senior (Grade 11-12),Find the domain of the function f(x) = x^2/(x3 + 8),,x ? R|x ? {-4},,x ? R|x ? {-2},,x ? R|x ? {-8},,x ? R|x ? {-6},,x ? R|x ? {-2},1,Easy,0
131.0,Math,Senior (Grade 11-12),A one-to-one function is a type of function wherein there is exactly one output for every one input.,,False. One-to-two,,False. Function where there is two or more output.,,False. Function where there is one output for two or more output.,,TRUE,,TRUE,1,Easy,0
132.0,Math,Senior (Grade 11-12),Identify if the function f(x) = x^2 + 2,,One-to-One,,NOT One-to-One,,One-to-two,,Two-to-one,,NOT One-to-One,1,Easy,0
133.0,Math,Senior (Grade 11-12),Identify if the function f(x) = x^3 - 1,,One-to-two,,NOT One-to-One,,One-to-One,,Two-to-one,,One-to-One,1,Easy,0
134.0,Math,Senior (Grade 11-12),"Identify if the following ordered pairs is one-to-one function or not. {(0,1), (5,4), (11,6), (-4,1), (2,4)}",,One-to-two,,NOT One-to-One,,Two-to-one,,One-to-One,,NOT One-to-One,1,Easy,0
135.0,Math,Senior (Grade 11-12),"In the Philippines, an employee pays 33% tax deducted from salary. During the mid-year and end-of-year, companies distribute bonuses which are tax-free if not greater than 80,000 pesos. Express the take home pay of an employee after receiving a 50,00 pesos. Use x to represent the employee's salary.",,"f(x) = 33x + 50,000",,"f(x) = 0.67x + 50,000",,"f(x) = 0.33x + 50,000",,"f(x) = 0.67(x + 50,000)",,"f(x) = 0.67x + 50,000",1,Easy,0
136.0,Math,Senior (Grade 11-12),"De Velez Manufacturing Corp. makes and sells wooden study tables. It costs 800 pesos to make one wooden table. The total overhead cost is 500 pesos per week and the selling price is 1,000 pesos. Express the weekly profit of the company as a function of the number of tables sold per week.",,f(x) = 200x + 500,,f(x) = 500x + 200,,f(x) = 1800x + 500,,f(x) = 200x - 500,,f(x) = 200x - 500,1,Easy,0
57.0,Math,Senior (Grade 11-12),Match the expressions in their appropriate box.,,x(2-x)/x = 1/x^2,,(3x-2)/(x-1) ? x^2,,(x2+6)/(x-6) = f(x),,,,,0,Average,0
58.0,Math,Senior (Grade 11-12),Match the expressions in their appropriate box.,,,,z2/(5z - 7) > z - 4,,h(z) = (z/3) + (z-2)/z,,121z = 1/z,,,0,Average,0
59.0,Math,Senior (Grade 11-12),Match the expressions in their appropriate box.,,1/t2 - (t-3)/(t+6) ? t/5,,(t+1)/(11+t) = t/(11-t),,,,P(t) = (t2 - 25)/t,,,0,Average,0
60.0,Math,Senior (Grade 11-12),Match the expressions in their appropriate box.,,0 = (k+45)/(4-k) + (t-4)/)k-4),,k ? 71k / (2-k-k2),,h(k) = (3k2 - 5k - 2)/(3k + 1),,,,,0,Average,0
137.0,Math,Senior (Grade 11-12),"During a long weekend, Peter travelled north for a vacation. In going home, he rode a train for 2 hours and then a bus for 4 hours. Given that the train travelled 15 kilometers pe hour slower than the bus, express the total distance travelled by Peter as a function of the speed of the bus.",,f(x) = 6x + 60,,f(x) = 4x - 30,,f(x) = 4x + 30,,f(x) = 6x - 30,,f(x) = 6x - 30,1,Easy,0
138.0,Math,Senior (Grade 11-12),"In a basketball tournament, Randy scored 15 points in each of the first three games. In the remaining games, he scored a total of 60 points. Express his average score in all of the games. Let x be the total number of games Randy played.",,f(x) = 75/(x + 3),,f(x) = 105/(x + 3),,f(x) = 105/x,,f(x) = 75/x,,f(x) = 105/(x + 3),1,Easy,0
139.0,Math,Senior (Grade 11-12),"In a school, attendance is checked every morning. Initially, there are 7 girls and 5 boys. If 3 girls and 2 boys arrive every minute, express the ratio of boys to girls at any given minute.",,f(x) = (5 + 2x)/(7 + 3x),,f(x) = (7x + 3)/(5x + 2),,f(x) = (5x + 2)/(7x + 3),,f(x) = (7 + 3x)/(5 + 2x),,f(x) = (5 + 2x)/(7 + 3x),1,Easy,0
140.0,Math,Senior (Grade 11-12),"Robert is a math tutor. His payment package includes 200 pesos per hour for the first three hours and 150 pesos per hour on the succeeding hours. If his tutorial service has a minimum of three hour, express Robert's earnings as a function of time in hours.",,f(x) = 350x - 450,,f(x) = 200x - 3,,f(x) = 150x + 150,,f(x) = 150x,,f(x) = 150x + 150,1,Easy,0
141.0,Math,Senior (Grade 11-12),The domain of a one-to-one function is the range of its inverse function.,,TRUE,,FALSE. One-to-two,,FALSE. direct function,,The range of a one-to-one function is the domain of its inverse function.,,TRUE,1,Easy,0
142.0,Math,Senior (Grade 11-12),"For any algebraic function f(x) defined in the coordinate (x,y), there exists an inverse function f -1(x).",,Maybe,,FALSE,,TRUE,,Cannot be determined,,FALSE,1,Easy,0
143.0,Math,Senior (Grade 11-12),Arrange the steps in determining the inverse of one-to-one functions.,,1: Replace f(x) with y; 2: Replace y with f ^-1 (x); 3: Solve for y; 4: Interchange x and y,,1: Replace f(x) with y; 2: Interchange x and y; 3: Solve for y; 4: Replace y with f ^-1 (x),,1: Replace y with f ^-1 (x); 2: Interchange x and y; 3: Solve for y; 4: Replace f(x) with y,,1: Interchange x and y; 2: Replace f(x) with y; 3: Solve for y; 4: Replace y with f ^-1 (x),,1: Replace f(x) with y; 2: Interchange x and y; 3: Solve for y; 4: Replace y with f ^-1 (x),1,Easy,0
144.0,Math,Senior (Grade 11-12),Which of the following is the inverse of f(x) = x^3 + 1?,,f^-1 (x) = 3?(x - 1),,f^-1 (x) = 3?(x + 1),,f^-1(x) = 3?x + 1,,f^-1(x) = (3?x) - 1,,f^-1 (x) = 3?(x - 1),1,Easy,0
145.0,Math,Senior (Grade 11-12),Which of the following is the inverse of f(x) = 4x/(x + 5)?,,f^-1 (x) = -(5x/(x - 4)),,f^-1 (x) = 4x/(x - 5),,f^-1 (x) = (x + 5)/4x,,f^-1 (x) = (x + 4)/5x,,f^-1 (x) = (x + 4)/5x,1,Easy,0
146.0,Math,Senior (Grade 11-12),Which of the following is the inverse of f(x) = (x + 5)/(x - 4)?,,f^-1 (x) = (x + 4)/(x - 5),,f^-1 (x) = (4x - 5)/(x - 1),,f^-1 (x) = (x - 4)/(x + 5),,f^ -1 (x) = (4x - 5)/(x + 1),,f^-1 (x) = (4x - 5)/(x - 1),1,Easy,0
147.0,Math,Senior (Grade 11-12),Which of the following is the inverse of f(x) = x3 - 8?,,f^-1 (x) = 3?(x - 8),,f^-1 (x) = 3?x - 2,,f^-1 (x) = 3?(x + 8),,f^-1 (x) = 3?x + 2,,f^-1 (x) = 3?(x + 8),1,Easy,0
148.0,Math,Senior (Grade 11-12),Which of the following is the inverse of f(x) = 1/(2x + 1)?,,f^-1 (x) = (x - 1)/2x,,f^-1 (x) = 2x/(x - 1),,f^-1 (x) = (1 - x)/2x,,f^-1 (x) = 2x - 1,,f^-1 (x) = (x - 1)/2x,1,Easy,0
149.0,Math,Senior (Grade 11-12),Which of the following is the inverse of f(x) = (x - 3)/7?,,f^-1 (x) = (x + 7)/3,,f^-1 (x) = 7x/3,,f^-1 (x) = (x - 3)/7,,f^-1 (x) = (x + 3)/7,,f^-1 (x) = (x + 7)/3,1,Easy,0
157.0,Math,Senior (Grade 11-12),Which of the following is true about the graph of a function and its inverse?,,They are always symmetric with respect to the y-axis.,,They are always symmetric with respect to the line y = x.,,They are always parallel.,,They always intersect with each other.,,They are always symmetric with respect to the line y = x.,1,Easy,0
161.0,Math,Senior (Grade 11-12),Find the domain of the inverse of f(x) = ?(x - 1).,,D f -1: {x|x ? 0},,D f -1: {x|x ? 0},,D f -1: {x|x ? 1},,D f -1: {x|x ? 1},,D f -1: {x|x ? 0},1,Easy,0
162.0,Math,Senior (Grade 11-12),Find the range of the inverse of f(x) = ?(x + 2).,,R f -1: {y|y ? 2},,R f -1: {y|y ? 2},,R f -1: {y|y ? -2},,R f -1: {y|y ? -2},,R f -1: {y|y ? -2},1,Easy,0
163.0,Math,Senior (Grade 11-12),Find the range of the inverse of f(x) = 1/(x + 5).,,R f -1: {y|y ? -5},,R f -1: {y|y ? 5},,R f -1: {y|y ? R},,R f -1: {y|y ? -5},,R f -1: {y|y ? -5},1,Easy,0
164.0,Math,Senior (Grade 11-12),Find the domain of the inverse of f(x) = 1/(x + 5).,,D f -1: {x|x ? 0},,D f -1: {x|x ? 0},,D f -1: {x|x ? 1},,D f -1: {x|x ? 1},,D f -1: {x|x ? 0},1,Easy,0
165.0,Math,Senior (Grade 11-12),"Find the range of the inverse of f(x) = x^2 - 1, x ? 1.",,R f -1: {y|y ? 1},,R f -1: {y|y ? R},,R f -1: {y|y ? 1},,R f -1: {y|y ? 1},,R f -1: {y|y ? 1},1,Easy,0
166.0,Math,Senior (Grade 11-12),"Find the domain of the inverse of f(x) = x^2 - 1, x ? 1.",,D f -1: {x|x ? 1},,D f -1: {x|x ? 0},,D f -1: {x|x ? 1},,D f -1: {x|x ? 0},,D f -1: {x|x ? 0},1,Easy,0
81.0,Math,Senior (Grade 11-12),Complete the table of values for the function f(x) = 1/(x + 3).,,undefined,,1/2,,1/3,,1/4,,,0,Difficult,0
82.0,Math,Senior (Grade 11-12),Which of the following is the table of values of f(x) = x/(2x - 7)?,,,,,images/quizzes/GMathQSH008_02_opB.PNG,,images/quizzes/GMathQSH008_02_opA.PNG,,,images/quizzes/GMathQSH008_02_opA.PNG,0,Difficult,1
83.0,Math,Senior (Grade 11-12),Which of the following is the table of values of f(x) = (x^2 - 2x + 1)/(x - 6)?,,,,,images/quizzes/GMathQSH008_03_opB.PNG,,,,images/quizzes/GMathQSH008_03_opA.PNG,images/quizzes/GMathQSH008_03_opB.PNG,0,Difficult,1
84.0,Math,Senior (Grade 11-12),Which of the following is the graph of f(x) = 5/(2x - 9)?,,,images/quizzes/GMathQSH008_04_opA.PNG,,images/quizzes/GMathQSH008_04_opB.PNG,,,,,images/quizzes/GMathQSH008_04_opA.PNG,0,Difficult,1
85.0,Math,Senior (Grade 11-12),Which of the following is the graph of f(x) = (x^2 - x + 6)/(3x + 1)?,,,,,images/quizzes/GMathQSH008_05_opB.PNG,,images/quizzes/GMathQSH008_05_opA.PNG,,,images/quizzes/GMathQSH008_05_opB.PNG,0,Difficult,1
86.0,Math,Senior (Grade 11-12),Which of the following is the graph of f(x) = -x^2/(x - 1)?,,,,,images/quizzes/GMathQSH008_06_opB.PNG,,,,images/quizzes/GMathQSH008_06_opA.PNG,images/quizzes/GMathQSH008_06_opB.PNG,0,Difficult,1
167.0,Math,Senior (Grade 11-12),Find the range of the inverse of f(x) = (x - 2)/(x + 1).,,R f -1: {y|y ? -1},,R f -1: {y|y ? R},,R f -1: {y|y ? 1},,R f -1: {y|y ? 1},,R f -1: {y|y ? -1},1,Easy,0
168.0,Math,Senior (Grade 11-12),Find the domain of the inverse of f(x) = (x - 2)/(x + 1).,,D f -1: {x|x ? 1},,D f -1: {x|x ? -2},,D f -1: {x|x ? 2},,D f -1: {x|x ? -1},,D f -1: {x|x ? 1},1,Easy,0
169.0,Math,Senior (Grade 11-12),Find the range of the inverse of f(x) = ?1/(x + 5).,,R f -1: {y|y < 0},,R f -1: {y|y < 5},,R f -1: {y|y > 0},,R f -1: {y|y > -5},,R f -1: {y|y > -5},1,Easy,0
90.0,Math,Senior (Grade 11-12),Which of the following functions represents the table of values shown?,,f(x) = (x + 1)/(x - 2),,f(x) = (-x + 1)/(x - 2),,f(x) = (x)/(x - 1),,None of the choices,,f(x) = (-x + 1)/(x - 2),0,Average,0
170.0,Math,Senior (Grade 11-12),Find the domain of the inverse of f(x) = ?1/(x + 5).,,D f -1: {x|x < 0},,D f -1: {x|x > -5},,D f -1: {x|x > 0},,D f -1: {x|x > 5},,D f -1: {x|x > 0},1,Easy,0
196.0,Math,Senior (Grade 11-12),Which of the following is an exponential function?,,y = (1/a)^2x,,x^x+1 = y,,x^2x > y,,x = 5^2,,y = (1/a)^2x,1,Easy,0
197.0,Math,Senior (Grade 11-12),Which of the following is an exponential function?,,27 = 3^x,,9^x+1 = y,,x = 6^2x,,(x + 1)^2 = 10,,27 = 3^x,1,Easy,0
198.0,Math,Senior (Grade 11-12),Which of the following is an exponential function?,,x^2 = 25,,2^x > 2^1-x,,y = 6^2x,,3^x+2 = 3^1-x,,3^x+2 = 3^1-x,1,Easy,0
199.0,Math,Senior (Grade 11-12),Which of the following is an exponential inequality?,,y = (1/a)^2x,,x^x+1 = y,,e^2x > y,,x = 5^2,,e^2x > y,1,Easy,0
200.0,Math,Senior (Grade 11-12),Which of the following is an exponential function?,,x = 6^2x,,9^x+1 = y,,3^x+2 = 3^1-x,,x^2 = 25,,9^x+1 = y,1,Easy,0
201.0,Math,Senior (Grade 11-12),Which of the following is an exponential equation?,,e^2x > y,,5^x+1 = y,,x < 5^2,,y = (1/a)^2x,,5^x+1 = y,1,Easy,0
