quiz_detail_id,category,year level,question,answer_1,answer_2,answer_3,answer_4,correct_answer,is_active,difficulty_level
38,General Mathematics,Senior (Grade 11-12),"The base jeepney fare is 8 pesos for the first four kilometers, and an additional 1.50 pesos per kilometer for the succeeding kilometers. How much would the fare be if you were to travel 15 kilometers?",PHP 24.50,PHP 22.50,PHP 30.50,PHP 8.00,PHP 24.50,1,Difficult
39,General Mathematics,Senior (Grade 11-12),"A travel agency offers an all-inclusive tour package for PHP 2,500 per person if not more than 5 people take the tour. Once the group exceeds five members, the remaining members will receive a discount of PHP 50 each. How much would the travel agency's revenue be if 11 people take the package?","PHP 24,000","PHP 24,200","PHP 24,400","PHP 26,600","PHP 24,200",1,Difficult
40,General Mathematics,Senior (Grade 11-12),"A sales analyst projected that 1,500 units of their company product will be sold if it were priced at PHP 50. However, the number of units sold increased by 100 for each peso subtracted from the price. What will the analyst's income be if the selling price is PHP 35?","PHP 350,000","PHP 105,000","PHP 52,500","PHP 175,000","PHP 105,000",1,Difficult
41,General Mathematics,Senior (Grade 11-12),A car company spent PHP 20 billion to develop its new SUV. The cost of manufacturing each SUV is PHP 1.5 million. Which rational function gives the average cost of developing and manufacturing n SUVs?,"A(x) = (20,000,000,000x + 1,500,000)/x","A(x) = (20,001,500,000 + x)/x","A(x) = (20,000,000,000 + 1,500,000)/x","A(x) = (20,000,000,000 + 1,500,000x)/x","A(x) = (20,000,000,000 + 1,500,000x)/x",1,Difficult
42,General Mathematics,Senior (Grade 11-12),The number of radios produced by a factory in t hours is given by the polynomial function n(t) = t^2 + 3t for t ≥ 1. The cost in PHP of manufacturing the radio in t hours is given by the function c(t) = 24t + 400. What is the average cost of each radio?,A(x) = (24t + 400)/t,A(x) = (t^2 + 3t)/(24t + 400),A(x) = (24t + 400)/(t^2+3t),A(x) = (t^2 + 3t)/t,A(x) = (24t + 400)/(t^2+3t),1,Average
43,General Mathematics,Senior (Grade 11-12),"The rate of a worker can be express as a function of time. It is the amount of work done divided by the time spent to do the work. If a lumberjack needs to cut down 20 trees, express his rate as a function of time, t.",R(t) = t/20,R(t) = t + 20,R(t) = 20/t,R(t) = 20t,R(t) = 20/t,1,Average
44,General Mathematics,Senior (Grade 11-12),"Relative aperture or f-number is an important concept in photography. It is the ratio of the len's diameter. Given that the focal length is 50 mm, express the relative aperture, f, as a function of len's diameter, d.",f = 50 + d,f = 50d,f = 50/d,f = d/50,f = 50/d,1,Average
45,General Mathematics,Senior (Grade 11-12),"Express the average speed of the truck if it will travel 1,780 kilometers as a function of time, t, in hours.","S(t) = 1,780 + t","S(t) = t/1,780","S(t) = 1,780t","S(t) = 1,780/t","S(t) = 1,780/t",1,Average
46,General Mathematics,Senior (Grade 11-12),"The amount of strong acid flowing into a mixer can be expressed as a function of time, t, A(t) = 3t. Water is also flowing inside the mixer, and its amount can be expressed as a function of time, t, W(t) = 8t + 6. What is the concentration of the acid inside the mixer at any given time t?",C(t) = 3t/(8t + 6),C(t) = 5t + 6,C(t) = (8t + 6)/3t,C(t) = 11t + 6,C(t) = 3t/(8t + 6),1,Difficult
47,General Mathematics,Senior (Grade 11-12),"The amount of dug entering a certain part of the body is given by the function d(t) = 6t. However, the amount of blood that passes through that same part is given by the function b(t) = 16t^2 + 5. Given that t is the time after the drug is administered, express the concentration of the drug in that part of the body as a function of t.",C(t) = (16t2 + 5)/6t,C(t) = (16t^2 + 5)/t,C(t) = 6t,C(t) = 6t/(16t^2 + 5),C(t) = 6t/(16t^2 + 5),1,Difficult
48,General Mathematics,Senior (Grade 11-12),"Ohm's law states that current passing through a conductor is directly propotional to voltage, and inversely proportional to the resistance of the conductor. What is the amount of the current, I, that passes through a conductor with resistance, R, applying 5 volts?",I = R/5,I = 5R,I = 5/R,I = 1/5R,I = 5/R,1,Difficult
49,General Mathematics,Senior (Grade 11-12),"The power consumed by an electric appliance is computed as the square of the voltage across the appliance divided by the resistance of the appliance. What is the function of the power, P, consumed by an appliance with a resistance R, connected to a 220 volt supply?",P = 220/R2,"P = 48,400/R",P = 220/R,"P = R/48,400","P = 48,400/R",1,Average
50,General Mathematics,Senior (Grade 11-12),"The number of garments produced in a garment factory is a function of time, t, in hours, and is modelled to be 4t^2 + 5t. At the same time, the number of defective garments is 2t + 1. What is the percentage of defective garments at any time t?",R(t) = 1/(4t^2 + 5t),R(t) = (2t + 1)/(4t^2 + 5t),R(t) = t/(2t + 1),R(t) = (4t^2 +  5t)/(2t + 1),R(t) = (2t + 1)/(4t^2 + 5t),1,Average
51,General Mathematics,Senior (Grade 11-12),Which of the following is a rational equation?,R > P/Q,R = P/Q,R(x) = P(x)/Q(x),P/Q,R = P/Q,1,Average
52,General Mathematics,Senior (Grade 11-12),Which of the following is a rational inequality?,P/Q,R = P/Q,R > P/Q,R(x) = P(x)/Q(x),R > P/Q,1,Average
53,General Mathematics,Senior (Grade 11-12),Which of the following is a rational function?,R(x) = P(x)/Q(x),R = P/Q,P/Q,R > P/Q,R(x) = P(x)/Q(x),1,Average
54,General Mathematics,Senior (Grade 11-12),Which of the following is a rational function?,500x = 125x^2 - 250,R(x) = (125x^2 - 250)/500x,(4δ/δ+7) ≤ 8,2/3x,R(x) = (125x^2 - 250)/500x,1,Average
55,General Mathematics,Senior (Grade 11-12),Which of the following is a rational equation?,2/x - 3/2x > 1/(3x+1),(25x-5x^2)/(500x-15) = 156,2/x - 3/2x + 1/3x,h(x) = (x3-x2+x+1)/(x-1)^3,(25x-5x^2)/(500x-15) = 156,1,Average
56,General Mathematics,Senior (Grade 11-12),Which of the following is rational inequality?,t/(t-1) - t^2/(t-2) + t^3/t-3,2/t - t/(t^2+5) > 1/t/(1-t),t = 13t^2/(56t - t4),Q(t) = t/(t^2-3),2/t - t/(t^2+5) > 1/t/(1-t),1,Average
57,General Mathematics,Senior (Grade 11-12),Match the expressions in their appropriate box.,x(2-x)/x = 1/x^2,(3x-2)/(x-1) ≠ x^2,(x2+6)/(x-6) = f(x),,NULL,0,Average
58,General Mathematics,Senior (Grade 11-12),Match the expressions in their appropriate box.,,z2/(5z - 7) > z - 4,h(z) = (z/3) + (z-2)/z,121z = 1/z,NULL,0,Average
59,General Mathematics,Senior (Grade 11-12),Match the expressions in their appropriate box.,1/t2 - (t-3)/(t+6) ≤ t/5,(t+1)/(11+t) = t/(11-t),,P(t) = (t2 - 25)/t,NULL,0,Average
60,General Mathematics,Senior (Grade 11-12),Match the expressions in their appropriate box.,0 = (k+45)/(4-k) + (t-4)/)k-4),k ≥ 71k / (2-k-k2),h(k) = (3k2 - 5k - 2)/(3k + 1),,NULL,0,Average
61,General Mathematics,Senior (Grade 11-12),Solve 2/x + 3/4x = -1/8,{x|x = 11},{x|x = -11},{x|x = -22},{x|x = 22},{x|x = -22},1,Difficult
62,General Mathematics,Senior (Grade 11-12),Solve (x-3)/(2x+1) + x/(x+3) = (3x^2 + x - 9)/(2x^2 + 7x + 3),"{x|x = -3, -1/2}",{x|x Ф R},"{x|x ϵ R\{-3, -1/2}}",{x|x ϵ R},"{x|x ϵ R\{-3, -1/2}}",1,Difficult
63,General Mathematics,Senior (Grade 11-12),Solve 2/(x-2) + 3/(x+3) = 5x/(x^2 + x - 6),"{x|x = -3, 2}","x ϵ R\{3, -2}","{x|x = 3,-2}","x ϵ R\{-3,2}","x ϵ R\{-3,2}",1,Difficult
64,General Mathematics,Senior (Grade 11-12),Solve (x+3)/4 = 7/x,"{x|x = -7, -4}","{x|x = 7, -4}","{x|x = 7, 4}","{x|x = -7, 4}","{x|x = -7, 4}",1,Difficult
65,General Mathematics,Senior (Grade 11-12),Solve 10/x = 40/(x - 30),{x|x = -20},{x|x = -30},{x|x = -40},{x|x = -10},{x|x = -10},1,Difficult
66,General Mathematics,Senior (Grade 11-12),Solve 5/3 = 3x/(2x - 9),{x|x = 45},{x|x = 5},{x|x = 9},{x|x = 3},{x|x = 45},1,Difficult
67,General Mathematics,Senior (Grade 11-12),Solve 1/(x + 3)= 1/(x-3),{x|x = 3},{x|x = Ф},"{x|x = -3,3}",{x|x = -3},{x|x = Ф},1,Difficult
68,General Mathematics,Senior (Grade 11-12),Solve 2x/9 = 8/x,{x|x = 72},"{x|x = -9,8}","{x|x = -36,36}","{x|x = -6,6}","{x|x = -6,6}",1,Difficult
69,General Mathematics,Senior (Grade 11-12),Solve 2/(x^2 -16 )+5 /(x-4) = 3/(x+4).,{x|x = -17},{x|x = 5},{x|x = 9},{x|x = 3},{x|x = -17},1,Difficult
70,General Mathematics,Senior (Grade 11-12),Solve 9/(x^3 - 1) + 1/(x^2 + x + 1) = 2/(x-1),"{x|x = -2, 3/2}","{x|x = -3, 2/3}","{x|x = -2/3,3}","{x|x = -3/2, 2}","{x|x = -2, 3/2}",1,Difficult
71,General Mathematics,Senior (Grade 11-12),Solve (t+2)/(t+3) ≥ 0. Choose the correct solution set.,{t: (t < -3) U (t ≥ -2)},{t: -3 < t ≤ -2},{t: -3 ≤ t ≤ -2},{t: (t ≤ -3) U (t ≥ -2)},{t: (t < -3) U (t ≥ -2)},1,Difficult
72,General Mathematics,Senior (Grade 11-12),Solve 5x/x - 5 < 4. Choose the correct solution set.,{x| -20 > x > 5},{x| -20 < x < -5},{x| -5 < x < 20},{x| -20 < x < 5},{x| -20 < x < 5},1,Difficult
73,General Mathematics,Senior (Grade 11-12),Solve (5x-9)/(2x - 3) > 3. Choose the correct solution set.,{x|(x < 0) U (x > 3/2)},{x|-3/2 < x < 0},{x|0 < x < 3/2},{x|x < -3/2 U x > 0},{x|(x < 0) U (x > 3/2)},1,Difficult
74,General Mathematics,Senior (Grade 11-12),What are the critical numbers of (x^2 + x - 6)/(x^2 + 4x - 12) > 0?," -2, 3, and 6"," -6, and -3"," -2, 3, and 12"," -6, -3, and 2"," -6, -3, and 2",1,Difficult
75,General Mathematics,Senior (Grade 11-12),Solve 3/(x + 3) < 2/(x - 4). Choose the correct solution set.,{x|x > 18) U (-3 < x < 4)},{x|(x < -3) U (4 < x < 18)},{x|x - 3 < x < 4},{x|(x < -3) U ( x > 4)},{x|(x < -3) U (4 < x < 18)},1,Difficult
76,General Mathematics,Senior (Grade 11-12),Solve (x - 7)/2x ≤ -3. Choose the correct solution set.,{x| 0 < x ≤ 1},{x|(x ≤ 0) U (x ≥ 1)},{x|(x < 0) U (x ≥ 1)},{x| 0 ≤ x ≤ 1},{x| 0 < x ≤ 1},1,Difficult
77,General Mathematics,Senior (Grade 11-12),Solve x/(2x - 3) + x/(x - 6). Choose the correct solution set.,{x: (0 < x < 3/2)},{x: (0 < x < 6) U (x ≠ 6)},{x: (3/2 < x < 6)},{x: (0 < x < 3/2) U (3 < x < 6)},{x: (0 < x < 3/2) U (3 < x < 6)},1,Difficult
78,General Mathematics,Senior (Grade 11-12),Which of the following is the equivalent inequality of m - 2 ≤ 5/(2m - 1)?,{m|(-1/2 < m ≤ 3)},{m|(m < -1/2) U (1/2 < m ≤ 3)},{m|(m < -1/2) U (m ≤ 3)},{m|(m < -1/2 < m < 1/2) U (m ≤ 3)},{m|(m < -1/2) U (1/2 < m ≤ 3)},1,Difficult
79,General Mathematics,Senior (Grade 11-12),Which of the following is the equivalent inequality of x/(x - 5) < -(3/(x - 1))?,{x|(x > -5) U (1 > x > 5)},{x|(-5 < x < 1) U (3 < x < 5)},{x|(x < -5) U (1 < x < 5) U (x > 5)},{x|(-5 > x > 1) U (3 > x > 5)},{x|(-5 < x < 1) U (3 < x < 5)},1,Difficult
80,General Mathematics,Senior (Grade 11-12),Solve the inequality 2/(x - 6) ≥ -x/(x - 16). Choose the correct solution set.,{x|(-4 ≤ x < 6) U (8 ≤ x < 16)},{x|(-4 ≤ x < 6) U (6 < x ≤ 8) U (x > 16)},{x|(x ≤ -4) U (6 < x ≤ 8) U (x > 16)},{x|(x ≤ -4) U (x > 6) U (x ≠ 16)},{x|(x ≤ -4) U (6 < x ≤ 8) U (x > 16)},1,Difficult
81,General Mathematics,Senior (Grade 11-12),Complete the table of values for the function f(x) = 1/(x + 3).,undefined,1/2,1/3,1/4,NULL,0,Difficult
82,General Mathematics,Senior (Grade 11-12),Which of the following is the table of values of f(x) = x/(2x - 7)?,,images/quizzes/GMathQSH008_02_opB.PNG,images/quizzes/GMathQSH008_02_opA.PNG,,images/quizzes/GMathQSH008_02_opA.PNG,0,Difficult
83,General Mathematics,Senior (Grade 11-12),Which of the following is the table of values of f(x) = (x^2 - 2x + 1)/(x - 6)?,,images/quizzes/GMathQSH008_03_opB.PNG,,images/quizzes/GMathQSH008_03_opA.PNG,images/quizzes/GMathQSH008_03_opB.PNG,0,Difficult
84,General Mathematics,Senior (Grade 11-12),Which of the following is the graph of f(x) = 5/(2x - 9)?,images/quizzes/GMathQSH008_04_opA.PNG,images/quizzes/GMathQSH008_04_opB.PNG,,,images/quizzes/GMathQSH008_04_opA.PNG,0,Difficult
85,General Mathematics,Senior (Grade 11-12),Which of the following is the graph of f(x) = (x^2 - x + 6)/(3x + 1)?,,images/quizzes/GMathQSH008_05_opB.PNG,images/quizzes/GMathQSH008_05_opA.PNG,,images/quizzes/GMathQSH008_05_opB.PNG,0,Difficult
86,General Mathematics,Senior (Grade 11-12),Which of the following is the graph of f(x) = -x^2/(x - 1)?,,images/quizzes/GMathQSH008_06_opB.PNG,,images/quizzes/GMathQSH008_06_opA.PNG,images/quizzes/GMathQSH008_06_opB.PNG,0,Difficult
87,General Mathematics,Senior (Grade 11-12),Which of the following is the equation of f(x) = (x^3 - 9)/(x + 4)?,y = (x3 - 9)/(x + 4),y = (x^3 + 9)/(x + 4),y = (x + 4)/(x^3 - 9),y = (x^3 + 9)/(x - 4),y = (x^3 - 9)/(x + 4),1,Average
88,General Mathematics,Senior (Grade 11-12),Which of the following is the equation of f(x) = (x^2 - 5x + 6)/(x^2 + 7x + 12)?,y = (x2 - 5x + 6)/(x^2 - 7x + 12),y = (x^2 - 5x + 6)/(x^2 + 7x + 12),y = (x^2 + 5x - 6)/(x^2 + 7x + 12),y = (x^2 - 5x + 6)/(x^2 + 7x - 12),y = (x^2 - 5x + 6)/(x^2 + 7x + 12),1,Average
89,General Mathematics,Senior (Grade 11-12),Which of the following is the equation of f(x) = (5x - 6)/(4x^2 + 3x - 2)?,y = (-5x + 6)/(4x^2 + 3x - 2),y = (5x - 6)/(4x^2 - 3x + 2),y = (5x - 6)/(4x^2 + 3x - 2),y = (5x + 6)/(4x^2 + 3x - 2),y = (5x - 6)/(4x^2 + 3x - 2),1,Average
90,General Mathematics,Senior (Grade 11-12),Which of the following functions represents the table of values shown?,f(x) = (x + 1)/(x - 2),f(x) = (-x + 1)/(x - 2),f(x) = (x)/(x - 1),None of the choices,f(x) = (-x + 1)/(x - 2),0,Average
91,General Mathematics,Senior (Grade 11-12),Find the domain and range of the function f(x) = 5x/(x - 5),"D: (-∞, 5) U (5, ∞); R: (-∞, 5) U (5, ∞)","D: (-∞, -5) U (-5, ∞); R: (-∞, 5) U (5, ∞)","D: (-∞, 5) U (5, ∞); R: (-∞, 10) U (10, ∞)","D: (-∞, 5) U (5, ∞); R: (-∞, 1/5) U (1/5, ∞)","D: (-∞, 5) U (5, ∞); R: (-∞, 5) U (5, ∞)",1,Average
92,General Mathematics,Senior (Grade 11-12),Which of the following is the domain of f(x) = 5x/(2x - 8)?,D: {x ϵ R|x ≠ -8},D: {x ϵ R|x ≠ -4},D: {x ϵ R|x ≠ 4},D: {x ϵ R|x ≠ 8},D: {x ϵ R|x ≠ 4},1,Average
93,General Mathematics,Senior (Grade 11-12),Which of the following is the range of f(x) = 6x/(5 - 2x)?,{y ϵ R|y ≠ -3},{y ϵ R|y ≠ -6},{y ϵ R|y ≠ 3},{y ϵ R|y ≠ 6},{y ϵ R|y ≠ -3},1,Average
94,General Mathematics,Senior (Grade 11-12),Find the range of the function f(x) = 8/(x^2 - 4),"R: (-∞, -2) U (-2, ∞)","R: (-∞, 0) U (0, ∞)","R: (-∞, 2) U (0, ∞)","R: (-∞, 2) U (2, ∞)","R: (-∞, 2) U (0, ∞)",1,Average
95,General Mathematics,Senior (Grade 11-12),Find the range of the function f(x) = (x^2 + x - 6)/(x + 3),All real numbers except 2,All real numbers except -5,All real numbers except -3,All real numbers,All real numbers except -5,1,Average
